IDENTIFICADOR_EMPRESA,EMPRESA,FECHA,ANIO,TRIMESTRE,HORA,COD_DANE,DEPARTAMENTO,MUNICIPIO,CENTRO_POBLADO,UBICACION,SEXO,EDAD,TIPO_IDENTIFICACION,VINCULADO_EMPRESA,TIPO_VINCULACION,GRADO_ESCOLARIDAD,TIEMPO_VINCULACION,SECCION_EMPRESA,TIPO_LESION,ORIGEN_ACCIDENTE,CAUSA_ACCIDENTE,MEDIDAS
3370.0,EMPRESA DE ENERGIA DE CASANARE SA ESP,09/05/2015,2015,3,09:15,85263000,CASANARE,PORE,PORE,ZONA RURAL DISPERSA,M,39,C.C.,S,CONTRATISTA,TÉCNICO,6,Operación - Distribución,Quemaduras,Fallas de operación,Contacto Directo,Instalacion correcta puesta a tierra Reforzar el analisis de riesgos Reforzar al personal en uso adecuado EPP  y equipos de altura Sensibilizar al personal en el procedimiento interno
23442.0,COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,11/27/2014,2014,4,11:40,19698020,CAUCA,SANTANDER DE QUILICHAO,QUINAMAYO,ZONA RURAL DISPERSA,M,35,C.C.,S,CONTRATISTA,BÁSICA PRIMARIA,2,Otro - Distribución,Muerte,Violación de distancias de seguridad,Contacto Indirecto,Realizar un programa de capacitacion de identificacion del riesgo  Implementar estrictamente los permisos de trabajo y formatos de analisis de trabajo seguro
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,10/02/2015,2015,4,15:30,44001000,LA GUAJIRA,RIOHACHA,RIOHACHA,CENTRO POBLADO,M,2,OTRO,N,NO APLICA,OTRO,11111,Mantenimiento - Distribución,Otra,Falta conductor puesta a tierra,Equipo defectuoso,SE REVISO PUESTA TIERRA DE LA VIVIENDA
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,08/12/2012,2012,4,15:00,47660000,MAGDALENA,SABANAS DE SAN ANGEL,SAN ANGEL,ZONA RURAL DISPERSA,M,40,C.C.,N,NO APLICA,BÁSICA PRIMARIA,11111,Mantenimiento - Distribución,Quemaduras,Accidentes externos,Contacto Indirecto,Se desconecto el ramal como medida de seguridad para poder normalizar el circuito  San Angel
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,11/04/2016,2017,4,20:00,44279000,LA GUAJIRA,FONSECA,FONSECA,SECTOR URBANO,F,6,N.N.,N,NO APLICA,BÁSICA PRIMARIA,11111,Mantenimiento - Distribución,Quemaduras,Fallas de aislamiento,Contacto Indirecto,Se corto el tv cable que energizo la retenida secundaria
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,04/30/2014,2014,2,09:26,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,Otro - Distribución,Otra,Violación de distancias de seguridad,Contacto Indirecto,NA
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,12/15/2012,2012,4,10:54,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,Otro - Distribución,Otra,Violación de distancias de seguridad,Arcod Eléctricos,NO APLICA
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,08/25/2014,2014,3,12:00,44430000,LA GUAJIRA,MAICAO,MAICAO,SECTOR URBANO,M,14,OTRO,N,NO APLICA,BACHILLER,11111,Mantenimiento - Distribución,Tetanización,Vientos fuertes,Contacto Directo,El reporte fue entregado a la brigada a las 0940 am y resuelto las 1030 am tan pronto llego la brigada al sitio pidio abrir el circuito para aislar el peligro y corregir dicha falla
564.0,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,03/12/2015,2015,1,18:30,05093000,ANTIOQUIA,BETULIA,BETULIA,ZONA RURAL DISPERSA,M,99,N.N.,N,NO APLICA,OTRO,11111,Mantenimiento - Distribución,Muerte,Violación de distancias de seguridad,Contacto Directo,se repara y se realzan lineas conservando distancias de seguridad
23442.0,COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,11/06/2012,2012,4,16:17,19130000,CAUCA,CAJIBIO,CAJIBIO,CENTRO POBLADO,F,44,C.C.,N,NO APLICA,OTRO,11111,Otro - Distribución,Muerte,Fallas operación sistema de protección,Tensión Contacto,Se retiran canuelas en el arranque de Betania
